epoch,ew_f1,precision,recall,status,checkpoint,openset_npz,notes
10,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000010_loss_0.068.pth,,
15,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000015_loss_0.020.pth,,
20,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000020_loss_0.006.pth,,
25,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000025_loss_0.008.pth,,
30,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000030_loss_0.010.pth,,
35,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000035_loss_0.022.pth,,
40,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000040_loss_0.006.pth,,
45,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000045_loss_0.005.pth,,
50,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000050_loss_0.006.pth,,
55,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000055_loss_0.011.pth,,
60,,,,planned,/root/autodl-tmp/MER2026/third_party/MERTools/MER2026/MER2026_Track2/output/human_outputhybird_bestsetup_bestfusion_face_lz/human_outputhybird_bestsetup_bestfusion_face_lz_20260707093/checkpoint_000060_loss_0.005.pth,,
